disease,term,note
D002446,Celiac_Disease,"A malabsorption syndrome that is precipitated by the ingestion of foods containing GLUTEN, such as wheat, rye, and barley. It is characterized by INFLAMMATION of the SMALL INTESTINE, loss of MICROVILLI structure, failed INTESTINAL ABSORPTION, and MALNUTRITION."
D003015,Clostridium_Infections,Infections with bacteria of the genus CLOSTRIDIUM.
D003093,Colitis_Ulcerative,"Inflammation of the COLON that is predominantly confined to the MUCOSA. Its major symptoms include DIARRHEA, rectal BLEEDING, the passage of MUCUS, and ABDOMINAL PAIN."
D003108,Colonic_Diseases,"Pathological processes in the COLON region of the large intestine (INTESTINE, LARGE)."
D003248,Constipation,"Infrequent or difficult evacuation of FECES. These symptoms are associated with a variety of causes, including low DIETARY FIBER intake, emotional or nervous disturbances, systemic and structural disorders, drug-induced aggravation, and infections."
D003424,Crohn_Disease,"A chronic transmural inflammation that may involve any part of the DIGESTIVE TRACT from MOUTH to ANUS, mostly found in the ILEUM, the CECUM, and the COLON. In Crohn disease, the inflammation, extending through the intestinal wall from the MUCOSA to the serosa, is characteristically asymmetric and segmental. Epithelioid GRANULOMAS may be seen in some patients."
D003550,Cystic_Fibrosis,"An autosomal recessive genetic disease of the EXOCRINE GLANDS. It is caused by mutations in the gene encoding the CYSTIC FIBROSIS TRANSMEMBRANE CONDUCTANCE REGULATOR expressed in several organs including the LUNG, the PANCREAS, the BILIARY SYSTEM, and the SWEAT GLANDS. Cystic fibrosis is characterized by epithelial secretory dysfunction associated with ductal obstruction resulting in AIRWAY OBSTRUCTION; chronic RESPIRATORY INFECTIONS; PANCREATIC INSUFFICIENCY; maldigestion; salt depletion; and HEAT PROSTRATION."
D003863,Depression,Depressive states usually of moderate intensity in contrast with major depression present in neurotic and psychotic disorders.
D003876,Dermatitis_Atopic,"A chronic inflammatory genetically determined disease of the skin marked by increased ability to form reagin (IgE), with increased susceptibility to allergic rhinitis and asthma, and hereditary disposition to a lowered threshold for pruritus. It is manifested by lichenification, excoriation, and crusting, mainly on the flexural surfaces of the elbow and knee. In infants it is known as infantile eczema."
D003920,Diabetes_Mellitus,A heterogeneous group of disorders characterized by HYPERGLYCEMIA and GLUCOSE INTOLERANCE.
D003922,Diabetes_Mellitus_Type_1,"A subtype of DIABETES MELLITUS that is characterized by INSULIN deficiency. It is manifested by the sudden onset of severe HYPERGLYCEMIA, rapid progression to DIABETIC KETOACIDOSIS, and DEATH unless treated with insulin. The disease may occur at any age, but is most common in childhood or adolescence."
D003924,Diabetes_Mellitus_Type_2,A subclass of DIABETES MELLITUS that is not INSULIN-responsive or dependent (NIDDM). It is characterized initially by INSULIN RESISTANCE and HYPERINSULINEMIA; and eventually by GLUCOSE INTOLERANCE; HYPERGLYCEMIA; and overt diabetes. Type II diabetes mellitus is no longer considered a disease exclusively found in adults. Patients seldom develop KETOSIS but often exhibit OBESITY.
D003967,Diarrhea,"An increased liquidity or decreased consistency of FECES, such as running stool. Fecal consistency is related to the ratio of water-holding capacity of insoluble solids to total water, rather than the amount of water present. Diarrhea is not hyperdefecation or increased fecal weight."
D004485,Eczema,"A pruritic papulovesicular dermatitis occurring as a reaction to many endogenous and exogenous agents (Dorland, 27th ed)."
D004827,Epilepsy,"A disorder characterized by recurrent episodes of paroxysmal brain dysfunction due to a sudden, disorderly, and excessive neuronal discharge. Epilepsy classification systems are generally based upon: (1) clinical features of the seizure episodes (e.g., motor seizure), (2) etiology (e.g., post-traumatic), (3) anatomic site of seizure origin (e.g., frontal lobe seizure), (4) tendency to spread to other structures in the brain, and (5) temporal patterns (e.g., nocturnal epilepsy). (From Adams et al., Principles of Neurology, 6th ed, p313)"
D005764,Gastroesophageal_Reflux,"Retrograde flow of gastric juice (GASTRIC ACID) and/or duodenal contents (BILE ACIDS; PANCREATIC JUICE) into the distal ESOPHAGUS, commonly due to incompetence of the LOWER ESOPHAGEAL SPHINCTER."
D005891,Gingivitis,Inflammation of gum tissue (GINGIVA) without loss of connective tissue.
D006111,Graves_Disease,"A common form of hyperthyroidism with a diffuse hyperplastic GOITER. It is an autoimmune disorder that produces antibodies against the THYROID STIMULATING HORMONE RECEPTOR. These autoantibodies activate the TSH receptor, thereby stimulating the THYROID GLAND and hypersecretion of THYROID HORMONES. These autoantibodies can also affect the eyes (GRAVES OPHTHALMOPATHY) and the skin (Graves dermopathy)."
D006262,Health,The state of the organism when it functions optimally without evidence of disease.
D006515,Hepatitis_B_virus,"The type species of the genus ORTHOHEPADNAVIRUS which causes human HEPATITIS B and is also apparently a causal agent in human HEPATOCELLULAR CARCINOMA. The Dane particle is an intact hepatitis virion, named after its discoverer. Non-infectious spherical and tubular particles are also seen in the serum."
D006678,HIV,"Human immunodeficiency virus. A non-taxonomic and historical term referring to any of two species, specifically HIV-1 and/or HIV-2. Prior to 1986, this was called human T-lymphotropic virus type III/lymphadenopathy-associated virus (HTLV-III/LAV). From 1986-1990, it was an official species called HIV. Since 1991, HIV was no longer considered an official species name; the two species were designated HIV-1 and HIV-2."
D006973,Hypertension,"Persistently high systemic arterial BLOOD PRESSURE. Based on multiple readings (BLOOD PRESSURE DETERMINATION), hypertension is currently defined as when SYSTOLIC PRESSURE is consistently greater than 140 mm Hg or when DIASTOLIC PRESSURE is consistently 90 mm Hg or more."
D007230,Infant_Low_Birth_Weight,"An infant having a birth weight of 2500 gm. (5.5 lb.) or less but INFANT, VERY LOW BIRTH WEIGHT is available for infants having a birth weight of 1500 grams (3.3 lb.) or less."
D007234,Infant_Premature,A human infant born before 37 weeks of GESTATION.
D007410,Intestinal_Diseases,Pathological processes in any segment of the INTESTINE from DUODENUM to RECTUM.
D007674,Kidney_Diseases,Pathological processes of the KIDNEY or its component tissues.
D007676,Kidney_Failure_Chronic,"The end-stage of CHRONIC RENAL INSUFFICIENCY. It is characterized by the severe irreversible kidney damage (as measured by the level of PROTEINURIA) and the reduction in GLOMERULAR FILTRATION RATE to less than 15 ml per min (Kidney Foundation: Kidney Disease Outcome Quality Initiative, 2002). These patients generally require HEMODIALYSIS or KIDNEY TRANSPLANTATION."
D008103,Liver_Cirrhosis,"Liver disease in which the normal microcirculation, the gross vascular anatomy, and the hepatic architecture have been variably destroyed and altered with fibrous septa surrounding regenerated or regenerating parenchymal nodules."
D008107,Liver_Diseases,Pathological processes of the LIVER.
D008171,Lung_Diseases,Pathological processes involving any part of the LUNG.
D008545,Melanoma,"A malignant neoplasm derived from cells that are capable of forming melanin, which may occur in the skin of any part of the body, in the eye, or, rarely, in the mucous membranes of the genitalia, anus, oral cavity, or other sites. It occurs mostly in adults and may originate de novo or from a pigmented nevus or malignant lentigo. Melanomas frequently metastasize widely, and the regional lymph nodes, liver, lungs, and brain are likely to be involved. The incidence of malignant skin melanomas is rising rapidly in all parts of the world. (Stedman, 25th ed; from Rook et al., Textbook of Dermatology, 4th ed, p2445)"
D008881,Migraine_Disorders,"A class of disabling primary headache disorders, characterized by recurrent unilateral pulsatile headaches. The two major subtypes are common migraine (without aura) and classic migraine (with aura or neurological symptoms). (International Classification of Headache Disorders, 2nd ed. Cephalalgia 2004: suppl 1)"
D009765,Obesity,"A status with BODY WEIGHT that is grossly above the acceptable or desirable weight, usually due to accumulation of excess FATS in the body. The standards may vary with age, sex, genetic or cultural background. In the BODY MASS INDEX, a BMI greater than 30.0 kg/m2 is considered obese, and a BMI greater than 40.0 kg/m2 is considered morbidly obese (MORBID OBESITY)."
D009767,Obesity_Morbid,"The condition of weighing two, three, or more times the ideal weight, so called because it is associated with many serious and life-threatening disorders. In the BODY MASS INDEX, morbid obesity is defined as having a BMI greater than 40.0 kg/m2."
D010300,Parkinson_Disease,"A progressive, degenerative neurologic disease characterized by a TREMOR that is maximal at rest, retropulsion (i.e. a tendency to fall backwards), rigidity, stooped posture, slowness of voluntary movements, and a masklike facial expression. Pathologic features include loss of melanin containing neurons in the substantia nigra and other pigmented nuclei of the brainstem. LEWY BODIES are present in the substantia nigra and locus coeruleus but may also be found in a related condition (LEWY BODY DISEASE, DIFFUSE) characterized by dementia in combination with varying degrees of parkinsonism. (Adams et al., Principles of Neurology, 6th ed, p1059, pp1067-75)"
D010661,Phenylketonurias,"A group of autosomal recessive disorders marked by a deficiency of the hepatic enzyme PHENYLALANINE HYDROXYLASE or less frequently by reduced activity of DIHYDROPTERIDINE REDUCTASE (i.e., atypical phenylketonuria). Classical phenylketonuria is caused by a severe deficiency of phenylalanine hydroxylase and presents in infancy with developmental delay; SEIZURES; skin HYPOPIGMENTATION; ECZEMA; and demyelination in the central nervous system. (From Adams et al., Principles of Neurology, 6th ed, p952)."
D011236,Prediabetic_State,"The time period before the development of symptomatic diabetes. For example, certain risk factors can be observed in subjects who subsequently develop INSULIN RESISTANCE as in type 2 diabetes (DIABETES MELLITUS, TYPE 2)."
D011565,Psoriasis,"A common genetically determined, chronic, inflammatory skin disease characterized by rounded erythematous, dry, scaling patches. The lesions have a predilection for nails, scalp, genitalia, extensor surfaces, and the lumbosacral region. Accelerated epidermopoiesis is considered to be the fundamental pathologic feature in psoriasis."
D012400,Rotavirus_Infections,"Infection with any of the rotaviruses. Specific infections include human infantile diarrhea, neonatal calf diarrhea, and epidemic diarrhea of infant mice."
D012559,Schizophrenia,"A severe emotional disorder of psychotic depth characteristically marked by a retreat from reality with delusion formation, HALLUCINATIONS, emotional disharmony, and regressive behavior."
D012778,Short_Bowel_Syndrome,"A malabsorption syndrome resulting from extensive operative resection of the SMALL INTESTINE, the absorptive region of the GASTROINTESTINAL TRACT."
D013167,Spondylitis_Ankylosing,"A chronic inflammatory condition affecting the axial joints, such as the SACROILIAC JOINT and other intervertebral or costovertebral joints. It occurs predominantly in young males and is characterized by pain and stiffness of joints (ANKYLOSIS) with inflammation at tendon insertions."
D013274,Stomach_Neoplasms,Tumors or cancer of the STOMACH.
D013959,Thyroid_Diseases,Pathological processes involving the THYROID GLAND.
D013964,Thyroid_Neoplasms,Tumors or cancer of the THYROID GLAND.
D014376,Tuberculosis,Any of the infectious diseases of man and other animals caused by species of MYCOBACTERIUM TUBERCULOSIS.
D014607,Uveomeningoencephalitic_Syndrome,"A syndrome characterized by bilateral granulomatous UVEITIS with IRITIS and secondary GLAUCOMA, premature ALOPECIA, symmetrical VITILIGO, poliosis circumscripta (a strand of depigmented hair), HEARING DISORDERS, and meningeal signs (neck stiffness and headache). Examination of the cerebrospinal fluid reveals a pattern consistent with MENINGITIS, ASEPTIC. (Adams et al., Principles of Neurology, 6th ed, p748; Surv Ophthalmol 1995 Jan;39(4):265-292)"
D015179,Colorectal_Neoplasms,Tumors or cancer of the COLON or the RECTUM or both. Risk factors for colorectal cancer include chronic ULCERATIVE COLITIS; FAMILIAL POLYPOSIS COLI; exposure to ASBESTOS; and irradiation of the CERVIX UTERI.
D015209,Cholangitis_Sclerosing,"Chronic inflammatory disease of the BILIARY TRACT. It is characterized by fibrosis and hardening of the intrahepatic and extrahepatic biliary ductal systems leading to bile duct strictures, CHOLESTASIS, and eventual BILIARY CIRRHOSIS."
D015212,Inflammatory_Bowel_Diseases,"Chronic, non-specific inflammation of the GASTROINTESTINAL TRACT. Etiology may be genetic or environmental. This term includes CROHN DISEASE and ULCERATIVE COLITIS."
D015497,HIV-1,The type species of LENTIVIRUS and the etiologic agent of AIDS. It is characterized by its cytopathic effect and affinity for the T4-lymphocyte.
D015518,Rett_Syndrome,"An inherited neurological developmental disorder that is associated with X-LINKED INHERITANCE and may be lethal in utero to hemizygous males. The affected female is normal until the age of 6-25 months when progressive loss of voluntary control of hand movements and communication skills; ATAXIA; SEIZURES; autistic behavior; intermittent HYPERVENTILATION; and HYPERAMMONEMIA appear. (From Menkes, Textbook of Child Neurology, 5th ed, p199)"
D015658,HIV_Infections,"Includes the spectrum of human immunodeficiency virus infections that range from asymptomatic seropositivity, thru AIDS-related complex (ARC), to acquired immunodeficiency syndrome (AIDS)."
D016360,Clostridium_difficile,"A common inhabitant of the colon flora in human infants and sometimes in adults. It produces a toxin that causes pseudomembranous enterocolitis (ENTEROCOLITIS, PSEUDOMEMBRANOUS) in patients receiving antibiotic therapy."
D016480,Helicobacter_pylori,"A spiral bacterium active as a human gastric pathogen. It is a gram-negative, urease-positive, curved or slightly spiral organism initially isolated in 1982 from patients with lesions of gastritis or peptic ulcers in Western Australia. Helicobacter pylori was originally classified in the genus CAMPYLOBACTER, but RNA sequencing, cellular fatty acid profiles, growth patterns, and other taxonomic characteristics indicate that the micro-organism should be included in the genus HELICOBACTER. It has been officially transferred to Helicobacter gen. nov. (see Int J Syst Bacteriol 1989 Oct;39(4):297-405)."
D016640,Diabetes_Gestational,Diabetes mellitus induced by PREGNANCY but resolved at the end of pregnancy. It does not include previously diagnosed diabetics who become pregnant (PREGNANCY IN DIABETICS). Gestational diabetes usually develops in late pregnancy when insulin antagonistic hormones peaks leading to INSULIN RESISTANCE; GLUCOSE INTOLERANCE; and HYPERGLYCEMIA.
D016776,Blastocystis_Infections,"Infections with organisms of the genus BLASTOCYSTIS. The species B. hominis is responsible for most infections. Parasitologic surveys have generally found small numbers of this species in human stools, but higher positivity rates and organism numbers in AIDS patients and other immunosuppressed patients (IMMUNOCOMPROMISED HOST). Symptoms include ABDOMINAL PAIN; DIARRHEA; CONSTIPATION; VOMITING; and FATIGUE."
D016918,Arthritis_Reactive,"An aseptic, inflammatory arthritis developing secondary to a primary extra-articular infection, most typically of the GASTROINTESTINAL TRACT or UROGENITAL SYSTEM. The initiating trigger pathogens are usually SHIGELLA; SALMONELLA; YERSINIA; CAMPYLOBACTER; or CHLAMYDIA TRACHOMATIS. Reactive arthritis is strongly associated with HLA-B27 ANTIGEN."
D018256,Adenomatous_Polyps,"Benign neoplasms derived from glandular epithelium. (From Stedman, 25th ed)"
D019337,Hematologic_Neoplasms,"Neoplasms located in the blood and blood-forming tissue (the bone marrow and lymphatic tissue). The commonest forms are the various types of LEUKEMIA, of LYMPHOMA, and of the progressive, life-threatening forms of the MYELODYSPLASTIC SYNDROMES."
D020187,REM_Sleep_Behavior_Disorder,"A disorder characterized by episodes of vigorous and often violent motor activity during REM sleep (SLEEP, REM). The affected individual may inflict self injury or harm others, and is difficult to awaken from this condition. Episodes are usually followed by a vivid recollection of a dream that is consistent with the aggressive behavior. This condition primarily affects adult males. (From Adams et al., Principles of Neurology, 6th ed, p393)"
D020345,Enterocolitis_Necrotizing,ENTEROCOLITIS with extensive ulceration (ULCER) and NECROSIS. It is observed primarily in LOW BIRTH WEIGHT INFANT.
D024821,Metabolic_Syndrome,A cluster of symptoms that are risk factors for CARDIOVASCULAR DISEASES and TYPE 2 DIABETES MELLITUS. The major components of metabolic syndrome include ABDOMINAL OBESITY; atherogenic DYSLIPIDEMIA; HYPERTENSION; HYPERGLYCEMIA; INSULIN RESISTANCE; a proinflammatory state; and a prothrombotic (THROMBOSIS) state.
D025241,Spondylarthritis,"Inflammation of the joints of the SPINE, the intervertebral articulations."
D037841,Pregnant_Women,"Human females who are pregnant, as cultural, psychological, or sociological entities."
D042882,Gallstones,"Solid crystalline precipitates in the BILIARY TRACT, usually formed in the GALLBLADDER, resulting in the condition of CHOLELITHIASIS. Gallstones, derived from the BILE, consist mainly of calcium, cholesterol, or bilirubin."
D043183,Irritable_Bowel_Syndrome,"A disorder with chronic or recurrent colonic symptoms without a clearcut etiology. This condition is characterized by chronic or recurrent ABDOMINAL PAIN, bloating, MUCUS in FECES, and an erratic disturbance of DEFECATION."
D050031,Hashimoto_Disease,"Chronic autoimmune thyroiditis, characterized by the presence of high serum thyroid AUTOANTIBODIES; GOITER; and HYPOTHYROIDISM."
D050177,Overweight,"A status with BODY WEIGHT that is above certain standard of acceptable or desirable weight. In the scale of BODY MASS INDEX, overweight is defined as having a BMI of 25.0-29.9 kg/m2. Overweight may or may not be due to increases in body fat (ADIPOSE TISSUE), hence overweight does not equal ""over fat""."
D050197,Atherosclerosis,A thickening and loss of elasticity of the walls of ARTERIES that occurs with formation of ATHEROSCLEROTIC PLAQUES within the ARTERIAL INTIMA.
D054198,Precursor_Cell_Lymphoblastic_Leukemia-Lymphoma,A neoplasm characterized by abnormalities of the lymphoid cell precursors leading to excessive lymphoblasts in the marrow and other organs. It is the most common cancer in children and accounts for the vast majority of all childhood leukemias.
D054323,Shiga-Toxigenic_Escherichia_coli,"Strains of ESCHERICHIA COLI with the ability to produce at least one or more of at least two antigenically distinct, usually bacteriophage-mediated cytotoxins: SHIGA TOXIN 1 and SHIGA TOXIN 2. These bacteria can cause severe disease in humans including bloody DIARRHEA and HEMOLYTIC UREMIC SYNDROME."
D055113,Chronic_Periodontitis,"Chronic inflammation and loss of PERIODONTIUM that is associated with the amount of DENTAL PLAQUE or DENTAL CALCULUS present. Chronic periodontitis occurs mostly in adults and was called adult periodontitis, but this disease can appear in young people."
D065626,Non-alcoholic_Fatty_Liver_Disease,Fatty liver finding without excessive ALCOHOL CONSUMPTION.
