,OTU_1,OTU_7253,OTU_7127,OTU_2292,OTU_284,OTU_9603,OTU_7152,OTU_11716,OTU_5701,OTU_10700,OTU_6635,OTU_10303,OTU_11671,OTU_7527,OTU_7063,OTU_8097,OTU_5045,OTU_3298,OTU_3098,OTU_4159,OTU_8867,OTU_5065,OTU_6950,OTU_3689,OTU_4464,OTU_4589,OTU_4234,OTU_8199,OTU_4165,OTU_5068,OTU_9529,OTU_2124,OTU_3110,OTU_3486,OTU_6246,OTU_7004,OTU_7060,OTU_11643,OTU_10638,OTU_1148,OTU_9680,OTU_8197,OTU_3887,OTU_7573,OTU_11767,OTU_10457,OTU_11720,OTU_2995,OTU_3232,OTU_7102
DLM002,0.003829083630667479,0.0,0.0,0.0,0.0,0.0,0.00022258222153792598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6735505378791431e-06,0.0,1.6735505378791431e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0005807220366440626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3471010757582862e-06,0.0,0.0,5.020651613637429e-06,0.0,9.539238065911116e-05,0.0,3.3471010757582862e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.539238065911116e-05
NLM028,0.008118792093998753,3.707803573173226e-07,0.0,0.0,0.0,0.0,0.0,3.707803573173226e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48312142926929e-06,0.0,0.0,1.853901786586613e-07,0.0,1.2977312506106292e-06,0.0,0.0,0.0,0.0,0.0,3.707803573173226e-07,0.0,1.6685116079279515e-06,0.0,0.0,0.0,0.0,0.0,7.415607146346452e-07,0.0,0.0,0.0,0.0,3.707803573173226e-07,0.0,0.0,1.853901786586613e-07,1.853901786586613e-07,0.0,0.0,0.0,0.0,0.0
DLM015,0.031346283886917084,0.0,9.676627833437588e-06,0.0,2.3039590079613305e-07,0.0,0.0,0.0,0.0,0.0,0.0,6.91187702388399e-07,0.0,2.3039590079613305e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3039590079613305e-07,0.0,2.3039590079613305e-07,2.764750809553596e-06,0.0,0.0,0.0,0.0,0.0,4.607918015922661e-07,0.0,0.0,1.1519795039806651e-06,0.0,0.0,0.0,0.0,4.607918015922661e-07,0.0,2.3039590079613305e-07,0.0,0.0,0.0,6.91187702388399e-07,0.0,0.0,0.0,0.0
DOM012,0.001015461215932914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.275681341719078e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.275681341719078e-05,0.0,0.0,0.0,3.275681341719078e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.275681341719078e-05
NLM021,0.0028761554096225737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.700845954059101e-06,0.0,0.0,0.0,0.0,0.0,4.910629007380185e-07,2.4553145036900924e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4553145036900924e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.892754808856221e-06,0.0,2.4553145036900924e-07,0.0,0.0,0.0,4.910629007380185e-07,0.0,0.0,4.910629007380185e-07,0.0,0.0
NLF012,0.023156583651203315,0.0,0.0,0.0,0.0,0.0,2.3952526093283107e-07,4.790505218656621e-07,0.0,0.0,0.0,0.0,0.0,0.0,2.3952526093283107e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.790505218656621e-07,2.3952526093283107e-07,0.0,0.0,0.0,0.0,0.0,2.3952526093283107e-07,0.0,0.0,0.0,0.0,2.3952526093283107e-07,0.0,0.0,0.0,0.0,0.0,0.0,2.3952526093283107e-07,0.0,0.0,0.0,4.790505218656621e-07,0.0,0.0
NOF005,0.00030948490615238653,0.0,0.0,1.7338089980525857e-07,0.0,0.0,0.0,8.66904499026293e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.935235992210344e-07,0.0,0.0,0.0,3.467617996105172e-07,0.0,0.0,3.502294176066223e-05,0.0,0.0,0.0,0.0,3.467617996105172e-07,1.7338089980525857e-07,0.0,0.0,0.0,0.0,0.0,1.7338089980525857e-07,0.0,0.0,0.0,0.0,1.7338089980525857e-07,0.0,0.0,0.0,3.467617996105172e-07,0.0,0.0,0.0,0.0,5.201426994157758e-07,0.0
NOF010,0.01049976048334808,0.0,0.0,0.0,0.0,0.0,2.319773868443304e-07,0.0,0.0,1.3918643210659824e-06,0.0,0.0,0.0,6.959321605329912e-07,0.0,0.0,0.0,0.0,1.1598869342216522e-06,0.0,0.0,0.0,0.0,0.0,0.0,2.319773868443304e-07,0.0,0.0,2.5517512552876344e-06,0.0,0.0,0.0,0.0,0.0,9.279095473773216e-07,9.279095473773216e-07,0.0,0.0,0.0,2.319773868443304e-07,0.0,0.0,2.319773868443304e-07,6.959321605329912e-07,0.0,0.0,0.0,0.0,0.0,4.639547736886608e-07
DLM006,0.003185224987674564,0.0,0.0,0.0,0.0,0.0,0.00013294852122467746,0.0,0.0,0.0,5.539521717694894e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.539521717694894e-06,0.00011632995607159278,0.0,0.0,0.0,0.0,0.0,0.0,5.539521717694894e-06,0.0,0.0,0.0,0.0,0.0,7.201378233003363e-05
NLM032,0.00882719014588708,6.316415131225103e-07,0.0,0.0,0.0,0.0,0.0,6.316415131225103e-07,1.6106858584624012e-05,0.0,0.0,6.316415131225103e-07,0.0,2.210745295928786e-06,0.0,0.0,0.0,3.158207565612552e-07,3.158207565612552e-07,0.0,0.0,0.0,0.0,3.2529537925809283e-05,0.0,0.0,0.0,2.210745295928786e-06,0.0,0.0,6.316415131225103e-07,0.0,0.0,9.474622696837656e-07,0.0,0.0,3.158207565612552e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.158207565612552e-07,0.0,0.0,0.0,0.0,0.0
NOM028,0.007330634293663445,2.90115335351569e-07,0.0,0.0,5.80230670703138e-07,0.0,0.0,0.0,0.0,0.0,0.0,8.70346006054707e-07,0.0,0.0,0.0,2.90115335351569e-07,0.0,0.0,0.0,0.0,5.80230670703138e-07,0.0,0.0,0.0,0.0,8.70346006054707e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.90115335351569e-07,0.0,0.0,0.0,0.0,0.0,0.0,8.70346006054707e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.80230670703138e-07,0.0
DLF003,0.0014530708794458056,0.0,0.0,0.0,0.0,0.0,4.224043254202923e-05,0.0,0.0,0.0,8.448086508405846e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.448086508405846e-06,4.224043254202923e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.448086508405846e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.448086508405846e-06,0.0,8.448086508405846e-06,0.0,0.0,0.0,0.0,6.758469206724677e-05
NOF002,0.0008078658906312973,0.0,0.0,0.0,0.0,3.6308579354215613e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6308579354215613e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.446286903132341e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8154289677107802e-06,0.0,0.0
DLF013,0.023880761549324638,0.0,9.334673377555976e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.445082560740942e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.890165121481884e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.445082560740942e-07,0.0,0.0,0.0,5.778607328963224e-06,0.0,0.0,4.445082560740942e-07,0.0
DLF001,0.0010017294629020344,0.0,0.0,0.0,0.0,4.383936380315249e-06,0.0,0.0,0.0,0.0,0.0,0.0,4.383936380315249e-06,0.0,2.1919681901576243e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5759045704728725e-06,0.0,0.0,0.0,0.0,0.0,1.3151809140945747e-05,0.0,0.0,0.0,0.0,0.0,1.7535745521260995e-05,0.0,0.0,0.0,0.0,0.0,0.0
NLM009,0.0008919670496878115,0.0,0.0,0.0,0.0,0.0,0.00015263607267385009,0.0,0.0,0.0,4.769877271057816e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3389140897404714e-05,0.00017171558175808137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016217582721596573
NLM031,0.0092592756289165,0.0,0.0,0.0,2.209903727754004e-07,0.0,2.1878046904764638e-05,0.0,0.0,0.0,0.0,4.419807455508009e-07,0.0,0.0,1.104951863877002e-06,0.0,0.0,0.0,0.0,1.3259422366524023e-06,0.0,0.0,0.0,0.0,2.209903727754004e-07,0.0,0.0,0.0,1.3038431993748625e-05,0.0,8.839614911016018e-07,0.0,0.0,2.209903727754004e-07,0.0,0.0,2.497191212362025e-05,0.0,1.3259422366524023e-06,0.0,0.0,0.0,4.7733920519486494e-05,0.0,2.209903727754004e-07,0.0,0.0,0.0,0.0,2.828676771525125e-05
DOM015,0.016728560221051434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.530721870209252e-07,0.0,0.0,0.0,0.0,0.0,0.0,3.177649683188326e-06,0.0,0.0,0.0,3.530721870209252e-07,0.0,0.0,0.0,0.0,0.0,3.530721870209252e-07,0.0,0.0,0.0,0.0,0.0,0.0,3.530721870209252e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.177649683188326e-06,3.530721870209252e-07,0.0,0.0,0.0
NOF011,0.0008689984792526613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.821423633937212e-06,0.0,0.0,2.2571389071497697e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.821423633937212e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLM001,0.004805205176011472,0.0,0.0,1.3887876231247027e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.471969057811757e-06,0.0,0.0,0.0,0.0,3.471969057811757e-06,0.0,0.0,0.0,0.0,3.471969057811757e-06,0.0,0.0,0.0,0.0,6.943938115623514e-06,0.0,0.0,0.0,0.0,0.0,3.471969057811757e-06,0.0,0.0,0.0,0.0,6.943938115623514e-06,0.0,0.0,0.0,0.0,3.471969057811757e-06,0.0,0.0,3.471969057811757e-06,0.0,0.0
DLM017,0.00409470369416965,2.6675594098825073e-07,0.0,5.335118819765015e-07,0.0,0.0,0.0,0.0,0.0,1.3337797049412536e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6675594098825073e-07,0.0,0.0,0.0,0.0,0.0002707572801030745,0.0,0.0,0.0,5.335118819765015e-07,0.0,0.0,0.0,0.0,2.6675594098825073e-07,0.0,0.0,8.002678229647524e-07,0.0,0.0,0.0,0.0,0.0,2.6675594098825073e-07,0.0,0.0,0.0,0.0,0.0
DOM022,0.012636961174649516,0.0,4.340137439132285e-07,0.0,0.0,0.0,0.00045311034864541056,0.0,1.5190481036962998e-05,0.0,0.0,0.0,6.857417153829011e-05,0.0,0.0,0.0,0.0,4.340137439132285e-07,0.0,0.0,0.0,4.340137439132285e-07,4.600545685480222e-05,0.0,2.1700687195661425e-07,4.340137439132285e-07,0.0,0.0,0.0,0.0,0.0,0.0,8.68027487826457e-07,0.0,0.0,0.0,0.0005672559632945896,0.00045484640362106345,0.0,0.0,0.0,0.0,0.0,2.1700687195661425e-07,0.0,0.0,0.0,0.0,0.0,0.00022937626365814127
DLM016,0.017357404150679902,0.0,8.510200113100559e-07,0.0,0.0,2.1275500282751398e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1275500282751398e-07,0.0,0.0,0.0,1.7020400226201119e-06,0.0,3.6168350480677384e-06,0.0,0.0,0.0,2.1275500282751398e-07,0.0,2.1275500282751398e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1275500282751398e-07,0.0,0.0,0.0,0.0,0.0,1.06377501413757e-06,0.0,0.0,0.0,0.0,0.0,2.1275500282751398e-07,2.1275500282751398e-07,0.0
NOM019,0.004667494176259543,0.0,0.0,1.0002130453786656e-06,0.0,0.0,0.0,0.0,0.0,2.5005326134466643e-06,0.0,0.0,0.0,0.0,0.0,2.0004260907573312e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5007456588253303e-06,0.0,0.0,0.0,0.0,0.0,0.0,5.001065226893328e-07,0.0,0.0,0.0,0.0,1.0002130453786656e-06,0.0,5.001065226893328e-07,5.001065226893328e-07,0.0,0.0,5.001065226893328e-07,5.001065226893328e-07,0.0,0.0,0.0,0.0
DLF012,1.8486143315146491e-06,0.0,0.0,0.0,0.0,2.6408776164494985e-07,0.0,0.0,2.904965378094448e-06,0.0,0.0,0.0,4.0405427531677334e-05,0.0,0.0,0.0,0.0,0.0,2.6408776164494985e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003044931891766272,0.0,1.0563510465797994e-06,0.0,0.0,0.0,0.0,2.6408776164494985e-07,0.0,0.0,0.0,2.904965378094448e-05,0.0
DOF007,0.000990673516466409,0.0,0.0,0.0,0.0,0.00018964321600928403,0.0,0.0,5.6609915226651945e-06,0.0,0.0,0.0,0.0,0.0,2.8304957613325973e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.491487283997792e-06,0.0,0.0,0.0,0.0,0.0,0.0
NOM020,0.006574787497499308,1.9594061980328734e-07,0.0,1.1756437188197242e-06,0.0,1.9594061980328734e-07,0.0,1.9594061980328734e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3512874376394484e-06,0.0,0.0,3.918812396065747e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.918812396065747e-07,0.0,0.0,1.9594061980328734e-07,0.0,0.0,1.959406198032874e-06,0.0,0.0,0.0,1.9594061980328734e-07,0.0,0.0,9.79703099016437e-07,0.0,1.9594061980328734e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9594061980328734e-07
NOM015,0.00040538288413406466,0.0,0.0,5.004726964618082e-07,0.0,0.0,2.502363482309041e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0018907858472326e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.506145054003506e-06,0.0,0.0,5.004726964618082e-07,0.0,0.0,0.0,5.004726964618082e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.502363482309041e-07,0.0,0.0,0.0,0.0,2.502363482309041e-07,0.0
NOF006,0.026160849057991698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9423966998078615e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9423966998078615e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLM002,0.004245170641379911,0.0,4.279765411791895e-06,0.0,0.0,0.0,0.0010488991730066637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.566471176493246e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.566471176493246e-07,0.0,0.0,3.566471176493246e-07,0.0,0.0,1.1412707764778387e-05,0.0,0.0,0.0,0.001411965938773676,0.0,0.0,3.2098240588439214e-06,0.0,0.0,0.0,3.566471176493246e-07,0.0,7.132942352986492e-07,0.0,0.0,3.566471176493246e-07,0.0007200705305339864
DLM001,0.01098086215012688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.058068251297229e-06,0.0,5.410757668396306e-07,0.0,0.0,0.0,0.0,0.0,2.705378834198153e-07,0.0,0.0,4.869681901556675e-06,0.0,0.0,7.0339849689151975e-06,0.0,0.0,0.0,0.0,0.0,0.0,2.705378834198153e-07,2.705378834198153e-07,0.0,0.0,0.0,0.0,2.705378834198153e-07,0.0,0.0,0.0,0.0,0.0,0.0,6.54701677875953e-05,0.0,0.0,0.0,0.0,5.410757668396306e-07,0.0,6.4929092020755675e-06
DOM023,0.005731128639513829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.203021915128307e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001951133218173115,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOM017,0.00037685920621981537,2.730863813187068e-07,0.0,0.0,5.461727626374136e-07,0.0,0.0,0.0,0.0,1.911604669230948e-06,0.0,1.3654319065935342e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.911604669230948e-06,0.0,0.0,0.00010158813385055894,0.0,0.0,0.0,0.0,0.0,1.638518287912241e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.730863813187068e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.730863813187068e-07,0.0,0.0,0.0
DLM021,0.05220580242463771,0.0,0.0,0.0,2.860591913678779e-07,0.0,0.0,0.0,0.0,0.0,2.860591913678779e-07,0.0,0.0,0.0,0.0,0.0,5.721183827357558e-07,0.0,0.0,0.0,0.0,2.860591913678779e-07,0.0,0.0,2.860591913678779e-07,0.0,0.0,2.860591913678779e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.867834932404215e-06,0.0,0.0,0.0,2.860591913678779e-07,0.0,0.0,0.0,0.0
DLF004,0.014041712031009906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.860795169373083e-06,0.0,3.860795169373083e-06,0.0,3.860795169373083e-06,0.0,0.0,0.0,0.0,3.860795169373083e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.721590338746167e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLF005,0.015550127599867413,0.0,0.0,0.0,0.0,0.0,0.00030250662135503656,0.0,0.0,0.0,3.2181555463301763e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2181555463301763e-06,0.0,0.0,0.0,0.0,0.0,0.002432925593025613,0.0,0.0,0.0,0.0,1.2872622185320705e-05,0.0,0.0,0.0,0.0,0.00030572477690136675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2181555463301763e-06,0.0,0.0,3.2181555463301763e-06,0.0,0.00026067059925274433
DOF013,0.0004441209489384276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2336693026067433e-05,0.0,0.0,1.2336693026067433e-05,0.0,0.0,0.0,0.0,4.934677210426973e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2336693026067433e-05,0.0,0.0,0.0,0.0,0.0,0.0
NOM023,9.292298542967588e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.504608980077311e-05,9.292298542967588e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.292298542967588e-06,0.0,0.0,9.292298542967588e-06,0.0,0.0,0.0,0.0,0.0,0.0
