#SampleID,label
Normal.11,Normal
Barrett's Esophagus.32,Barrett's Esophagus
Barrett's Esophagus.33,Barrett's Esophagus
Barrett's Esophagus.34,Barrett's Esophagus
Barrett's Esophagus.35,Barrett's Esophagus
Normal.12,Normal
Normal.13,Normal
Normal.14,Normal
Normal.15,Normal
Normal.16,Normal
Normal.17,Normal
Normal.18,Normal
Normal.19,Normal
Barrett's Esophagus.36,Barrett's Esophagus
Barrett's Esophagus.37,Barrett's Esophagus
Barrett's Esophagus.38,Barrett's Esophagus
Barrett's Esophagus.39,Barrett's Esophagus
Barrett's Esophagus.40,Barrett's Esophagus
Barrett's Esophagus.41,Barrett's Esophagus
Barrett's Esophagus.42,Barrett's Esophagus
Barrett's Esophagus.43,Barrett's Esophagus
Barrett's Esophagus.44,Barrett's Esophagus
Barrett's Esophagus.45,Barrett's Esophagus
Barrett's Esophagus.46,Barrett's Esophagus
Barrett's Esophagus.47,Barrett's Esophagus
Barrett's Esophagus.48,Barrett's Esophagus
Barrett's Esophagus.49,Barrett's Esophagus
Barrett's Esophagus.50,Barrett's Esophagus
Barrett's Esophagus.51,Barrett's Esophagus
Normal.20,Normal
Normal.21,Normal
Normal.22,Normal
Normal.23,Normal
Esophageal Adenocarcinoma.8,Esophageal Adenocarcinoma
Esophageal Adenocarcinoma.9,Esophageal Adenocarcinoma
Esophageal Adenocarcinoma.10,Esophageal Adenocarcinoma
Esophageal Adenocarcinoma.11,Esophageal Adenocarcinoma
Normal.24,Normal
Normal.25,Normal
Normal.26,Normal
Normal.27,Normal
Barrett's Esophagus.52,Barrett's Esophagus
Barrett's Esophagus.53,Barrett's Esophagus
Barrett's Esophagus.54,Barrett's Esophagus
Barrett's Esophagus.55,Barrett's Esophagus
Barrett's Esophagus.56,Barrett's Esophagus
Barrett's Esophagus.57,Barrett's Esophagus
Barrett's Esophagus.58,Barrett's Esophagus
Barrett's Esophagus.59,Barrett's Esophagus
Barrett's Esophagus.60,Barrett's Esophagus
Barrett's Esophagus.61,Barrett's Esophagus
Barrett's Esophagus.62,Barrett's Esophagus
Barrett's Esophagus.63,Barrett's Esophagus
Barrett's Esophagus.64,Barrett's Esophagus
Barrett's Esophagus.65,Barrett's Esophagus
Barrett's Esophagus.66,Barrett's Esophagus
Barrett's Esophagus.67,Barrett's Esophagus
Barrett's Esophagus.68,Barrett's Esophagus
Barrett's Esophagus.69,Barrett's Esophagus
Barrett's Esophagus.70,Barrett's Esophagus
Barrett's Esophagus.71,Barrett's Esophagus
Barrett's Esophagus.72,Barrett's Esophagus
Barrett's Esophagus.73,Barrett's Esophagus
Barrett's Esophagus.74,Barrett's Esophagus
Barrett's Esophagus.75,Barrett's Esophagus
Barrett's Esophagus.76,Barrett's Esophagus
Barrett's Esophagus.77,Barrett's Esophagus
Barrett's Esophagus.78,Barrett's Esophagus
Barrett's Esophagus.79,Barrett's Esophagus
Barrett's Esophagus.80,Barrett's Esophagus
Barrett's Esophagus.81,Barrett's Esophagus
Barrett's Esophagus.82,Barrett's Esophagus
Barrett's Esophagus.83,Barrett's Esophagus
Reflux Esophagitis.16,Reflux Esophagitis
Reflux Esophagitis.17,Reflux Esophagitis
Reflux Esophagitis.18,Reflux Esophagitis
Reflux Esophagitis.19,Reflux Esophagitis
Reflux Esophagitis.20,Reflux Esophagitis
Reflux Esophagitis.21,Reflux Esophagitis
Reflux Esophagitis.22,Reflux Esophagitis
Reflux Esophagitis.23,Reflux Esophagitis
Reflux Esophagitis.24,Reflux Esophagitis
Reflux Esophagitis.25,Reflux Esophagitis
Reflux Esophagitis.26,Reflux Esophagitis
Reflux Esophagitis.27,Reflux Esophagitis
Reflux Esophagitis.28,Reflux Esophagitis
Reflux Esophagitis.29,Reflux Esophagitis
Reflux Esophagitis.30,Reflux Esophagitis
Reflux Esophagitis.31,Reflux Esophagitis
Reflux Esophagitis.32,Reflux Esophagitis
Reflux Esophagitis.33,Reflux Esophagitis
Reflux Esophagitis.34,Reflux Esophagitis
Reflux Esophagitis.35,Reflux Esophagitis
Esophageal Adenocarcinoma.12,Esophageal Adenocarcinoma
Esophageal Adenocarcinoma.13,Esophageal Adenocarcinoma
Esophageal Adenocarcinoma.14,Esophageal Adenocarcinoma
Esophageal Adenocarcinoma.15,Esophageal Adenocarcinoma
Esophageal Adenocarcinoma.16,Esophageal Adenocarcinoma
Esophageal Adenocarcinoma.17,Esophageal Adenocarcinoma
Esophageal Adenocarcinoma.18,Esophageal Adenocarcinoma
Esophageal Adenocarcinoma.19,Esophageal Adenocarcinoma
Esophageal Adenocarcinoma.20,Esophageal Adenocarcinoma
Esophageal Adenocarcinoma.21,Esophageal Adenocarcinoma
Esophageal Adenocarcinoma.22,Esophageal Adenocarcinoma
Esophageal Adenocarcinoma.23,Esophageal Adenocarcinoma
Esophageal Adenocarcinoma.24,Esophageal Adenocarcinoma
Esophageal Adenocarcinoma.25,Esophageal Adenocarcinoma
Esophageal Adenocarcinoma.26,Esophageal Adenocarcinoma
Esophageal Adenocarcinoma.27,Esophageal Adenocarcinoma
Esophageal Adenocarcinoma.28,Esophageal Adenocarcinoma
Esophageal Adenocarcinoma.29,Esophageal Adenocarcinoma
Esophageal Adenocarcinoma.30,Esophageal Adenocarcinoma
Esophageal Adenocarcinoma.31,Esophageal Adenocarcinoma
Esophageal Adenocarcinoma.32,Esophageal Adenocarcinoma
Esophageal Adenocarcinoma.33,Esophageal Adenocarcinoma
Esophageal Adenocarcinoma.34,Esophageal Adenocarcinoma
Esophageal Adenocarcinoma.35,Esophageal Adenocarcinoma
Esophageal Adenocarcinoma.36,Esophageal Adenocarcinoma
Esophageal Adenocarcinoma.37,Esophageal Adenocarcinoma
Esophageal Adenocarcinoma.38,Esophageal Adenocarcinoma
Esophageal Adenocarcinoma.39,Esophageal Adenocarcinoma
Esophageal Adenocarcinoma.40,Esophageal Adenocarcinoma
Esophageal Adenocarcinoma.41,Esophageal Adenocarcinoma
Esophageal Adenocarcinoma.42,Esophageal Adenocarcinoma
Esophageal Adenocarcinoma.43,Esophageal Adenocarcinoma
Esophageal Adenocarcinoma.44,Esophageal Adenocarcinoma
Esophageal Adenocarcinoma.45,Esophageal Adenocarcinoma
Esophageal Adenocarcinoma.46,Esophageal Adenocarcinoma
Esophageal Adenocarcinoma.47,Esophageal Adenocarcinoma
Esophageal Adenocarcinoma.48,Esophageal Adenocarcinoma
Esophageal Adenocarcinoma.49,Esophageal Adenocarcinoma
Esophageal Adenocarcinoma.50,Esophageal Adenocarcinoma
Esophageal Adenocarcinoma.51,Esophageal Adenocarcinoma
