ncbi_taxon_id,scientific_name
457395,Bacteroides sp. 9_1_42FAA
457396,Clostridium sp. 7_2_43FAA
457402,Eubacterium sp. 3_1_31
457412,Ruminococcus sp. 5_1_39BFAA
457415,Synergistes sp. 3_1_syn1
457416,Veillonella sp. 3_1_44
457421,Clostridiales bacterium 1_7_47FAA
457422,Erysipelotrichaceae bacterium 2_2_44A
469585,Bacteroides sp. 1_1_14
469586,Bacteroides sp. 1_1_6
469588,Bacteroides sp. 2_1_22
469590,Bacteroides sp. 2_2_4
469591,Parabacteroides sp. 20_3
469592,Bacteroides sp. 3_1_19
469593,Bacteroides sp. 3_1_40A
469596,Coprobacillus sp. 29_1
469610,Burkholderiales bacterium 1_1_47
469613,Enterobacteriaceae bacterium 9_2_54FAA
469614,Erysipelotrichaceae bacterium 6_1_45
471189,Gordonibacter pamelaeae
487173,Dialister succinatiphilus
487174,Barnesiella intestinihominis
487175,Parasutterella excrementihominis
491921,Megamonas rupellensis
501496,Porphyromonas bennonis
501571,Butyricicoccus pullicaecorum
521720,Pseudomonas caeni
539813,Enterobacter mori
552395,Lachnospiraceae bacterium 4_1_37FAA
552396,Erysipelotrichaceae bacterium 5_2_54FAA
552398,Ruminococcaceae bacterium D16
556261,Clostridium sp. D5
563191,Acidaminococcus sp. D21
563193,Parabacteroides sp. D13
626929,Bacteroides clarus
626930,Bacteroides fluxus
626931,Bacteroides oleiciplenus
626932,Alistipes indistinctus
626933,Odoribacter laneus
626934,Slackia piriformis
626935,Collinsella tanakaei
626940,Phascolarctobacterium succinatutens
638849,Pyramidobacter piscolens
649724,Clostridium sp. ATCC BAA-442
649756,Anaerostipes hadrus
658081,Lachnospiraceae bacterium 1_1_57FAA
658082,Lachnospiraceae bacterium 2_1_58FAA
658083,Lachnospiraceae bacterium 6_1_63FAA
658085,Lachnospiraceae bacterium 5_1_57FAA
658086,Lachnospiraceae bacterium 3_1_57FAA_CT1
658087,Lachnospiraceae bacterium 7_1_58FAA
658088,Lachnospiraceae bacterium 9_1_43BFAA
658089,Lachnospiraceae bacterium 5_1_63FAA
658655,Lachnospiraceae bacterium 1_4_56FAA
658657,Erysipelotrichaceae bacterium 21_3
658659,Erysipelotrichaceae bacterium 3_1_53
665937,Anaerostipes sp. 3_2_56FAA
665938,Bacteroides sp. 2_1_56FAA
665943,Eggerthella sp. 1_3_56FAA
665950,Lachnospiraceae bacterium 3_1_46FAA
665951,Lachnospiraceae bacterium 8_1_57FAA
665956,Subdoligranulum sp. 4_3_54A2FAA
671218,Alloprevotella rava
671229,Veillonella sp. oral taxon 780
674529,Bacteroides faecis
712991,Lachnospiraceae bacterium oral taxon 500
742723,Lachnospiraceae bacterium 2_1_46FAA
749535,Klebsiella sp. MS 92-3
751585,Coprococcus sp. ART55/1
754330,Escherichia sp. TW09276
754333,Escherichia sp. TW11588
908612,Alistipes sp. HGB5
936548,Actinomyces sp. ICM47
936594,Lachnoanaerobaculum sp. ICM7
1070699,Clostridiaceae bacterium JC118
1077464,Streptococcus tigurinus
1078090,Coprococcus sp. HPP0074
1078091,Coprococcus sp. HPP0048
1078480,Haemophilus sputorum
1078764,Corynebacterium sp. HFH0082
1095771,Ruminococcus sp. JC304
1099853,Coprobacter fastidiosus
1105030,Actinomyces sp. ICM58
1105031,Clostridium sp. MSTE9
1111120,Acidaminococcus sp. BV3L6
1111121,Atopobium sp. BV3Ac4
1111135,Coriobacteriaceae bacterium BV3Ac1
1118058,Actinomyces sp. ph3
1118060,Enorma massiliensis phI
1118061,Alistipes obesi
1161942,Ruminococcus champanellensis
1169673,Streptococcus sp. GMD4S
1175452,Peptoniphilus rhinitidis
1203555,Acidaminococcus sp. HPA0509
1203556,Actinomyces sp. HPA0247
1203568,Dermabacter sp. HFH0086
1203571,Propionibacterium sp. HGH0353
1203593,Veillonella sp. HPA0037
1211813,Candidatus Alistipes marseilloanorexicus AP11
1211819,Holdemania massiliensis AP2
1226322,Oscillibacter sp. KLE 1728
1226323,Oscillibacter sp. KLE 1745
1226325,Clostridium sp. KLE 1755
1257080,Paenibacillus sp. PAMC 26794
1287640,Anaerococcus obesiensis
1288121,Alistipes senegalensis
1329817,Enterobacter sp. MGH 8
