#SampleID,label
External Auditory Canal.22,External Auditory Canal
External Auditory Canal.23,External Auditory Canal
Feces.24,Feces
Feces.25,Feces
Skin.192,Skin
Skin.193,Skin
Skin.194,Skin
Skin.195,Skin
Skin.196,Skin
Skin.197,Skin
Hair.8,Hair
Skin.198,Skin
Skin.199,Skin
Skin.200,Skin
Skin.201,Skin
Oral Cavity.24,Oral Cavity
Skin.202,Skin
Skin.203,Skin
Nostril.24,Nostril
Nostril.25,Nostril
Skin.204,Skin
Skin.205,Skin
Skin.206,Skin
Skin.207,Skin
Oral Cavity.25,Oral Cavity
Skin.208,Skin
Skin.209,Skin
External Auditory Canal.24,External Auditory Canal
External Auditory Canal.25,External Auditory Canal
Feces.26,Feces
Feces.27,Feces
Skin.210,Skin
Skin.211,Skin
Skin.212,Skin
Skin.213,Skin
Skin.214,Skin
Skin.215,Skin
Hair.9,Hair
Skin.216,Skin
Skin.217,Skin
Skin.218,Skin
Skin.219,Skin
Oral Cavity.26,Oral Cavity
Skin.220,Skin
Skin.221,Skin
Nostril.26,Nostril
Nostril.27,Nostril
Skin.222,Skin
Skin.223,Skin
Skin.224,Skin
Skin.225,Skin
Oral Cavity.27,Oral Cavity
External Auditory Canal.26,External Auditory Canal
Feces.28,Feces
Skin.226,Skin
Skin.227,Skin
Skin.228,Skin
Skin.229,Skin
Nostril.28,Nostril
Skin.230,Skin
Skin.231,Skin
Oral Cavity.28,Oral Cavity
External Auditory Canal.27,External Auditory Canal
Feces.29,Feces
Skin.232,Skin
Skin.233,Skin
Skin.234,Skin
Skin.235,Skin
Nostril.29,Nostril
Skin.236,Skin
Skin.237,Skin
Oral Cavity.29,Oral Cavity
Skin.238,Skin
Skin.239,Skin
External Auditory Canal.28,External Auditory Canal
External Auditory Canal.29,External Auditory Canal
Feces.30,Feces
Feces.31,Feces
Skin.240,Skin
Skin.241,Skin
Skin.242,Skin
Skin.243,Skin
Skin.244,Skin
Skin.245,Skin
Hair.10,Hair
Skin.246,Skin
Skin.247,Skin
Skin.248,Skin
Skin.249,Skin
Oral Cavity.30,Oral Cavity
Skin.250,Skin
Skin.251,Skin
Nostril.30,Nostril
Nostril.31,Nostril
Skin.252,Skin
Skin.253,Skin
Skin.254,Skin
Skin.255,Skin
Oral Cavity.31,Oral Cavity
Skin.256,Skin
Skin.257,Skin
External Auditory Canal.30,External Auditory Canal
External Auditory Canal.31,External Auditory Canal
Feces.32,Feces
Feces.33,Feces
Skin.258,Skin
Skin.259,Skin
Skin.260,Skin
Skin.261,Skin
Skin.262,Skin
Skin.263,Skin
Hair.11,Hair
Skin.264,Skin
Skin.265,Skin
Skin.266,Skin
Skin.267,Skin
Oral Cavity.32,Oral Cavity
Skin.268,Skin
Nostril.32,Nostril
Nostril.33,Nostril
Skin.269,Skin
Skin.270,Skin
Skin.271,Skin
Skin.272,Skin
Oral Cavity.33,Oral Cavity
External Auditory Canal.32,External Auditory Canal
Feces.34,Feces
Skin.273,Skin
Skin.274,Skin
Skin.275,Skin
Skin.276,Skin
Nostril.34,Nostril
Skin.277,Skin
Skin.278,Skin
Oral Cavity.34,Oral Cavity
External Auditory Canal.33,External Auditory Canal
Skin.279,Skin
Skin.280,Skin
Skin.281,Skin
Skin.282,Skin
Nostril.35,Nostril
Skin.283,Skin
Skin.284,Skin
Oral Cavity.35,Oral Cavity
Skin.285,Skin
Skin.286,Skin
External Auditory Canal.34,External Auditory Canal
External Auditory Canal.35,External Auditory Canal
Feces.35,Feces
Feces.36,Feces
Skin.287,Skin
Skin.288,Skin
Skin.289,Skin
Skin.290,Skin
Skin.291,Skin
Skin.292,Skin
Hair.12,Hair
Skin.293,Skin
Skin.294,Skin
Skin.295,Skin
Skin.296,Skin
Oral Cavity.36,Oral Cavity
Skin.297,Skin
Skin.298,Skin
Nostril.36,Nostril
Nostril.37,Nostril
Skin.299,Skin
Skin.300,Skin
Skin.301,Skin
Skin.302,Skin
Oral Cavity.37,Oral Cavity
Skin.303,Skin
Skin.304,Skin
External Auditory Canal.36,External Auditory Canal
External Auditory Canal.37,External Auditory Canal
Feces.37,Feces
Feces.38,Feces
Skin.305,Skin
Skin.306,Skin
Skin.307,Skin
Skin.308,Skin
Skin.309,Skin
Skin.310,Skin
Hair.13,Hair
Skin.311,Skin
Skin.312,Skin
Skin.313,Skin
Skin.314,Skin
Oral Cavity.38,Oral Cavity
Skin.315,Skin
Skin.316,Skin
Nostril.38,Nostril
Nostril.39,Nostril
Skin.317,Skin
Skin.318,Skin
Skin.319,Skin
Skin.320,Skin
Oral Cavity.39,Oral Cavity
External Auditory Canal.38,External Auditory Canal
Feces.39,Feces
Skin.321,Skin
Skin.322,Skin
Skin.323,Skin
Skin.324,Skin
Nostril.40,Nostril
Skin.325,Skin
Skin.326,Skin
Oral Cavity.40,Oral Cavity
External Auditory Canal.39,External Auditory Canal
Feces.40,Feces
Skin.327,Skin
Skin.328,Skin
Skin.329,Skin
Skin.330,Skin
Nostril.41,Nostril
Skin.331,Skin
Skin.332,Skin
Oral Cavity.41,Oral Cavity
External Auditory Canal.40,External Auditory Canal
Feces.41,Feces
Skin.333,Skin
Skin.334,Skin
Skin.335,Skin
Skin.336,Skin
Nostril.42,Nostril
Skin.337,Skin
Skin.338,Skin
Oral Cavity.42,Oral Cavity
External Auditory Canal.41,External Auditory Canal
Feces.42,Feces
Skin.339,Skin
Skin.340,Skin
Skin.341,Skin
Skin.342,Skin
Nostril.43,Nostril
Skin.343,Skin
Skin.344,Skin
Oral Cavity.43,Oral Cavity
External Auditory Canal.42,External Auditory Canal
Feces.43,Feces
Skin.345,Skin
Skin.346,Skin
Skin.347,Skin
Skin.348,Skin
Nostril.44,Nostril
Skin.349,Skin
Skin.350,Skin
Oral Cavity.44,Oral Cavity
External Auditory Canal.43,External Auditory Canal
Feces.44,Feces
Skin.351,Skin
Skin.352,Skin
Skin.353,Skin
Skin.354,Skin
Nostril.45,Nostril
Skin.355,Skin
Skin.356,Skin
Oral Cavity.45,Oral Cavity
